Transponder;Date;Time;Laptime
2406063;2014-05-24;17:21:38;First Passing
2406063;2014-05-24;17:22:01;00:23.021
2406063;2014-05-24;17:22:29;00:28.446
2406063;2014-05-24;17:22:52;00:22.613
2406063;2014-05-24;17:23:15;00:22.840
2406063;2014-05-24;17:23:37;00:22.252
2406063;2014-05-24;17:24:09;00:32.121
2406063;2014-05-24;17:24:29;00:19.609
2406063;2014-05-24;17:24:50;00:21.353
2406063;2014-05-24;17:25:11;00:21.172
2406063;2014-05-24;17:25:34;00:22.928
2406063;2014-05-24;17:25:57;00:23.013
2406063;2014-05-24;17:29:42;First Passing
2406063;2014-05-24;17:30:02;00:19.870
2406063;2014-05-24;17:31:20;First Passing
2406063;2014-05-24;17:32:13;00:53.337
2406063;2014-05-24;17:34:57;First Passing
2406063;2014-05-24;17:35:17;00:19.835
2406063;2014-05-24;17:35:36;00:19.274
2406063;2014-05-24;17:36:13;00:37.255
2406063;2014-05-24;17:36:33;00:19.503
2406063;2014-05-24;17:52:41;First Passing
2406063;2014-05-24;17:53:05;00:23.624
2406063;2014-05-24;17:56:25;First Passing
2406063;2014-05-24;17:56:48;00:23.399
2406063;2014-05-24;17:57:08;00:19.832
2406063;2014-05-24;17:57:31;00:22.805
2406063;2014-05-24;17:57:50;00:19.263
2406063;2014-05-24;18:00:43;First Passing
2406063;2014-05-24;18:01:03;00:20.201
2406063;2014-05-24;18:01:28;00:24.806
2406063;2014-05-24;18:01:48;00:20.060
2406063;2014-05-24;18:02:08;00:19.726
2406063;2014-05-24;18:02:27;00:18.991
2406063;2014-05-24;18:03:01;00:34.632
2406063;2014-05-24;18:04:00;00:58.332
2406063;2014-05-24;18:05:37;First Passing
2406063;2014-05-24;18:05:57;00:20.163
2406063;2014-05-24;18:06:17;00:19.641
2406063;2014-05-24;18:07:15;00:58.323
2406063;2014-05-24;20:13:44;First Passing
2406063;2014-05-24;20:14:08;00:24.110
2406063;2014-05-24;20:14:48;00:39.973
2406063;2014-05-24;20:16:03;First Passing
2406063;2014-05-24;20:16:56;00:52.295
2406063;2014-05-24;20:17:33;00:37.436
2406063;2014-05-24;20:34:46;First Passing
2406063;2014-05-24;20:35:21;00:35.503
2406063;2014-05-24;20:35:42;00:20.324
2406063;2014-05-24;20:36:02;00:20.319
2406063;2014-05-24;20:36:29;00:27.222
2406063;2014-05-24;20:37:15;00:45.741
2406063;2014-05-24;20:37:37;00:21.825
2406063;2014-05-24;20:37:57;00:19.880
2406063;2014-05-24;20:38:16;00:19.410
2406063;2014-05-24;20:38:59;00:42.998
2406063;2014-05-24;20:39:29;00:29.837
2406063;2014-05-24;20:40:13;00:43.535
2406063;2014-05-24;20:53:21;First Passing
2406063;2014-05-24;20:53:45;00:23.933
2406063;2014-05-24;20:54:44;00:59.408
2406063;2014-05-24;20:55:07;00:23.162
2406063;2014-05-24;20:55:35;00:27.593
2406063;2014-05-24;20:55:54;00:18.976
2406063;2014-05-24;20:56:20;00:25.616
2406063;2014-05-24;20:56:38;00:18.631
2406063;2014-05-24;20:56:56;00:18.011
2406063;2014-05-24;20:57:07;00:11.208
2406063;2014-05-24;20:58:07;00:59.972
2406063;2014-05-24;20:58:28;00:20.428
2406063;2014-05-24;20:59:17;00:48.807
2406063;2014-05-24;21:02:01;First Passing
2406063;2014-05-24;21:02:20;00:18.720
2406063;2014-05-24;21:03:05;00:45.295
2406063;2014-05-24;21:03:09;00:03.943
